pdb_id,resolution,r_free
2amd,1.85,0.245
2amm,1.9,0.22125
2an2,2.6,0.23736
2ant,2.6,0.29
2ao5,2.1,0.25
2aos,2.9,0.23866
2aot,1.9,0.256
2apb,1.8,0.258
2apf,1.8,0.26271
2aq8,1.92,0.2128
2aqw,2.0,0.26154
2ar6,1.8,0.2008
2as4,1.3,0.1747
2asv,1.95,0.22604
2ate,1.8,0.20232
2aun,2.4,0.245
2awg,1.6,0.20224
2awp,2.0,0.2254
2axa,1.8,0.25
2ayl,2.0,0.237
2azn,2.7,0.253
2b00,1.85,0.21
2b0z,2.7,0.289
2b15,1.7,0.218
2b1e,2.0,0.25
2b1n,2.4,0.267
2b21,2.4,0.256
2b22,2.0,0.27629
2b2a,2.22,0.258
2b2d,2.9,0.203
2b3l,1.5,0.18
2b3z,2.41,0.277
2b4e,2.3,0.22867
2b4p,1.81,0.214
2b50,2.0,0.249
2b5l,2.85,0.2988
2b5u,2.3,0.295
2b65,1.5,0.21862
2b69,1.21,0.16203
2b6z,2.4,0.19725
2b70,2.4,0.2179
2b7p,2.51,0.26
2b9r,2.9,0.30795
2bac,2.3,0.22777
2bay,1.5,0.20396
2bb2,2.1,
2bbt,2.3,0.295
2bbw,2.05,0.24892
2bch,1.1,0.133
2bdf,2.1,0.271
2bdg,1.95,0.225
2bea,2.35,0.263
2ber,1.8,0.199
2bes,2.1,0.221
2bfi,1.1,
2bg7,2.1,0.222
2bge,1.8,0.2449
2bgm,2.0,0.229
2bh5,1.95,0.233
2bi1,1.69,0.2277
2bie,1.3,0.1638
2biq,1.8,0.255
2bj4,2.0,0.219
2bk8,1.69,0.234
2bl9,1.9,0.26
2bmk,2.3,0.2725
2bmm,2.48,0.315
2bnn,2.5,0.27
2bnx,2.4,0.236
2bo0,1.35,0.113
2bon,1.9,0.267
2bop,1.7,
2bp6,1.5,0.166
2bpm,2.4,0.271
2bps,2.7,0.2963
2bpw,2.8,
2bqa,1.8,
2brj,1.5,0.191
2bs4,2.76,0.216
2bsw,1.63,0.213
2btd,2.6,0.276
2bti,2.0,0.254
2bty,2.75,0.273
2bvn,2.3,0.271
2bvp,1.35,0.215
2bw9,1.68,0.2494
2bwn,2.1,0.217
2bwv,1.7,0.165
2bx5,2.7,0.29
2bx9,2.8,0.296
2bxa,2.35,
2bxn,2.65,0.264
2bym,2.8,0.271
2bz1,1.54,0.212
2bz8,2.0,0.271
2bzx,2.8,0.3743
2c00,2.5,0.223
2c07,1.5,0.223
2c0a,1.55,0.217
2c0l,2.3,0.256
2c0t,2.15,0.253
2c16,2.02,0.183
2c1c,2.3,0.292
2c1p,2.0,0.2853
2c2m,1.94,0.208
2c3k,2.6,0.28
2c3n,1.5,0.246
2c3x,2.7,0.283
2c44,2.8,0.22
2c4n,1.8,0.218
2c5u,2.21,0.258
2c6o,2.1,0.288
2c79,1.5,0.172
2c7n,2.1,0.238
2c8c,2.7,0.283
2c8x,2.17,0.229
2c8z,2.14,0.246
2c98,1.9,0.203
2c9s,1.24,0.194
2c9v,1.07,0.158
2ccf,1.7,0.316
2ccg,2.3,0.246
2cch,1.7,0.182
2ccp,2.2,
2ccz,2.7,0.284
2cd0,1.8,0.351
2cd8,1.7,0.333
2ce9,2.12,0.244
2cf6,2.6,0.23
2cf7,1.5,0.177
2cfm,1.8,0.231
2cgl,1.88,0.209
2cia,1.45,0.17
2cj4,1.63,0.189
2cjc,1.85,0.222
2cjs,1.78,0.219
2ckw,2.3,0.229
2cla,2.35,
2clv,1.9,0.251
2cm7,2.1,0.2542
2cna,2.0,
2cnu,1.05,0.159
2csm,2.8,0.321
2ctc,1.4,
2ctv,1.95,
2cv9,2.5,0.247
2cw2,1.86,0.2156
2cwa,1.96,0.282
2cwt,1.82,0.2045
2cxa,1.6,0.217
2cxh,1.8,0.209
2cxo,1.8,0.18924
2czw,1.9,0.238
2d0d,1.65,0.191
2d1l,1.85,0.22829
2d1v,2.4,0.232
2d1w,1.74,0.217
2d1x,1.9,0.226
2d1y,1.65,0.194
2d2x,2.3,0.228
2d2z,2.2,0.262
2d33,2.6,0.19116
2d4h,2.9,0.275
2d5y,1.98,0.216
2d68,1.6,0.24719
2d6k,2.5,0.28333
2d7d,2.1,0.28485
2d7t,1.7,0.21408
2d95,2.0,
2dc1,1.9,0.226
2dc4,1.65,0.236
2dcg,0.9,
2ddf,1.7,0.23
2ddx,0.86,0.14772
2deb,1.6,0.19375
2dej,1.5,0.22807
2df3,1.9,0.237
2dfi,2.1,0.252
2dfp,2.3,0.228
2di3,2.05,0.25
2dla,2.9,0.3094
2dm9,1.85,0.259
2doo,2.43,0.225
2dp3,2.1,0.181
2dpb,1.5,0.2449
2dpr,1.7,0.186
2dpw,2.9,0.281
2dq6,1.5,0.191
2dqc,1.8,0.223
2dqs,2.5,0.278
2drm,1.35,0.20626
2ds6,2.0,0.313
2dsn,1.5,0.188
2dsx,0.68,0.1107
2dt8,1.48,0.197
2dtd,2.1,0.219
2duj,1.67,0.19235
2dv7,2.3,0.241
2dv9,2.48,0.257
2dvp,1.9,0.27623
2dvq,2.04,0.248
2dwo,2.25,0.243
2dwq,2.95,0.281
2dwx,2.55,0.287
2dxs,2.2,0.259
2dy1,1.6,0.204
2dza,1.9,0.233
2e07,1.9,0.212
2e0i,2.8,0.247
2e0t,1.67,0.212
2e0w,2.55,0.27
2e16,2.0,0.228
2e1m,2.8,0.308
2e1u,2.2,0.24829
2e3i,2.0,0.2585
2e43,2.1,0.259
2e4g,2.08,0.212
2e5x,2.0,0.222
2e6y,1.6,0.187
2e7x,1.8,0.214
2e84,2.7,0.259
2e87,2.35,0.255
2e8b,1.61,0.261
2e9n,2.5,0.305
2e9s,1.78,0.231
2eaq,1.46,0.194
2ebs,2.4,0.21925
2ec5,2.6,0.28632
2eco,1.9,0.214
2ecs,1.4,0.175
2eda,2.19,
2edm,2.2,0.278
2eeq,2.5,0.237
2eer,2.1,0.222
2ef2,1.8,0.26421
2efh,2.1,0.259
2efo,2.4,0.264
2efq,2.3,0.267
2efx,2.2,0.25613
2egr,1.8,0.24455
2eij,1.9,0.234
2eio,2.6,0.292
2eir,2.5,0.311
2eix,1.56,0.226
2ekb,1.7,0.23
2ekc,2.0,0.22
2ela,2.0,0.259
2emr,2.4,0.226
2enb,2.05,
2epi,1.7,0.247
2erf,1.45,0.21672
2et3,2.8,0.251
2et8,2.5,0.2801
2etd,2.28,0.27
2eu3,1.6,0.212
2euk,1.85,0.23
2ev2,2.35,0.25693
2ev9,1.9,0.236
2evd,2.0,0.234
2evf,1.56,0.197
2evw,1.05,0.181
2eyi,1.7,0.205
2eym,1.8,0.2631
2ez9,1.6,0.1804
2f0h,2.15,0.2818
2f0m,2.0,0.2662
2f0x,2.3,0.247
2f0z,2.8,0.28
2f1f,1.75,0.227
2f1i,2.9,0.256
2f1s,1.4,0.236
2f2p,2.6,0.297
2f2w,1.7,0.246
2f44,2.4,0.287
2f48,2.11,0.25787
2f4z,2.11,0.23779
2f53,2.1,0.2311
2f5m,1.95,
2f62,1.5,0.1863
2f67,1.6,0.20777
2f6b,2.8,0.22649
2f6c,1.84,0.1864
2f6q,1.95,0.25728
2f6v,1.7,0.18775
2f6x,2.0,0.2274
2f8e,2.9,0.28426
2f98,2.1,0.21838
2f9h,1.57,0.229
2f9z,2.4,0.275
2fa4,2.38,0.25861
2fa8,1.9,0.24808
2fb4,1.9,
2fbl,1.9,0.28183
2fbx,2.2,0.262
2fc3,1.56,0.226
2fcv,1.8,0.21
2fdr,2.0,0.227
2fgv,1.5,0.19722
2fhb,1.8,0.205
2fht,1.7,0.331
2fi0,2.1,0.23627
2fl7,1.85,0.23242
2flb,1.95,0.28
2flm,1.65,0.23396
2fmb,1.8,
2fmu,2.3,0.265
2fn1,2.1,0.24516
2fo4,2.7,0.248
2fod,2.0,0.224
2foh,1.8,0.193
2fos,1.1,0.1526
2fp1,1.55,0.21142
2fp7,1.68,0.2188
2fqo,1.87,0.221
2fqx,1.7,0.224
2fr3,1.48,0.174
2fs8,2.5,0.25
2fsa,1.9,0.22
2fsq,1.4,0.20032
2fsx,1.8,0.21767
2fw5,2.0,0.21024
2fw7,1.75,0.188
2fxa,2.4,0.23392
2fxq,1.85,0.24731
2fy5,2.6,0.285
2fyg,1.8,0.23295
2fz6,2.1,0.2756
2fz9,1.6,0.223
2fzf,2.7,0.299
2fzk,2.5,0.2389
2g0f,2.2,0.238
2g0y,2.3,0.2655
2g11,1.9,0.057
2g1a,2.0,0.20115
2g2c,1.5,0.2021
2g2x,2.3,0.241
2g3b,2.0,0.24
2g3j,2.7,0.223
2g3v,2.3,0.279
2g4b,2.5,0.276
2g5c,1.9,0.261
2g5n,1.51,0.204
2g77,2.26,0.24357
2g94,1.86,0.227
2g9y,2.0,0.242
2ga9,2.3,0.26
2gbm,1.55,0.227
2gbo,2.2,0.2436
2gbw,1.7,0.2283
2gce,1.85,0.24644
2gd0,1.7,0.27554
2gd5,2.8,0.30106
2gd9,2.3,0.254
2gdm,1.7,
2gdr,2.1,0.2045
2gem,2.1,0.248
2geq,2.3,0.238
2gfn,1.9,0.21482
2gh1,2.5,0.227
2gi3,1.8,0.201
2gia,1.89,0.216
2gin,1.8,0.248
2gjn,2.3,0.232
2gkv,1.7,0.2484
2glr,2.2,
2gm1,2.3,0.269
2gn2,2.5,0.2259
2gnx,2.45,0.322
2gp3,2.35,0.2803
2gpi,1.6,0.172
2gpt,1.95,0.256
2gpy,1.9,0.248
2gq2,2.1,0.25464
2grb,1.4,0.25002
2gtw,1.548,0.21768
2guh,1.52,0.18781
2gvd,2.9,0.279
2gvy,1.8,0.21
2gw2,1.8,0.2793
2gw8,1.85,0.218
2gwn,1.85,0.19372
2gx8,2.2,0.26123
2gx9,2.1,0.223
2gyi,1.6,
2gyo,2.0,0.26796
2gz5,1.1,0.145
2h0l,2.59,0.278
2h26,1.8,0.24101
2h29,2.0,0.246
2h31,2.8,0.287
2h34,2.8,0.265
2h4f,2.0,0.22823
2h4r,2.7,0.282
2h4u,2.2,0.27189
2h6z,2.25,0.2901
2h72,2.25,0.268
2h7j,1.5,0.17969
2h88,1.74,0.206
2h92,2.3,0.257
2hau,2.7,0.324
2hax,1.29,0.162
2hc1,1.3,0.17885
2hc2,1.4,0.17892
2hc4,2.2,0.25
2hct,1.95,0.24755
2hdx,2.35,0.24
2he4,1.45,0.18003
2heg,1.5,0.18943
2hf4,1.8,0.211
2hf9,1.9,0.241
2hhd,2.2,
2hiv,2.05,0.254
2hjf,2.9,0.284
2hk1,2.3,0.239
2hlj,2.0,0.227
2hls,1.93,0.209
2hmu,2.25,0.245
2hmz,1.66,
2hpy,2.8,0.238
2hq6,1.75,0.18093
2hrp,2.2,0.289
2hs1,0.84,0.149
2hty,2.5,0.262
2huc,1.9,0.208
2huo,2.0,0.25627
2hut,2.4,0.26
2hvn,1.58,0.208
2hvs,2.5,0.283
2hx2,1.95,0.213
2hxu,1.8,0.183
2hy0,1.7,0.234
2hy3,2.6,0.28796
2hyw,2.1,0.257
2hyx,1.9,0.219
2hz2,2.0,0.2591
2hz3,1.9,0.24028
2hz4,2.8,0.285
2hz7,2.3,0.242
2hzm,2.4,0.264
2i0a,1.8,0.18506
2i0m,2.4,0.28624
2i2c,1.85,0.21
2i39,2.2,0.247
2i3q,2.3,0.264
2i45,2.5,0.26793
2i4o,2.4,0.26104
2i4v,1.5,0.256
2i52,2.08,0.225
2i58,2.8,0.296
2i5q,2.1,0.259
2i6g,1.9,0.233
2i6o,1.9,0.2266
2i6s,2.7,0.287
2i6u,2.2,0.23887
2i7n,1.9,0.243
2i7s,1.35,0.239
2i9d,2.3,0.23
2iaj,2.5,0.284
2iar,1.9,0.255
2ibl,1.32,0.17
2ic2,1.3,0.234
2ica,1.56,0.223
2ich,2.0,0.232
2id0,2.35,0.286
2id3,1.7,0.19876
2id5,2.698,0.255
2id7,1.75,0.202
2ide,1.9,0.226
2ifr,1.95,0.222
2igf,2.8,
2igv,1.67,0.2236
2igw,1.78,0.2637
2igy,2.6,0.26415
2ihl,1.4,
2ii3,2.17,0.259
2iia,1.8,0.238
2iie,2.41,0.272
2iiu,2.28,0.247
2ij4,2.4,0.27285
2ijl,2.3,0.23623
2ijn,2.2,0.261
2ik0,1.7,0.19888
2iks,1.85,0.21949
2il4,2.054,0.22
2im1,2.5,0.268
2imn,1.97,
2imq,1.3,0.20844
2in3,1.85,0.22731
2ind,2.2,0.246
2io5,2.7,0.29331
2ior,1.65,0.198
2iov,1.8,0.21636
2iq9,2.3,0.278
2iqq,2.66,0.2259
2iqy,1.4,0.19299
2irx,1.8,0.20943
2isf,2.0,0.2631
2isl,2.9,0.285
2isn,1.9,0.279
2isz,2.403,0.239
2itd,2.7,0.261
2itm,2.1,0.263
2itn,2.47,0.267
2itv,2.47,0.242
2itz,2.8,0.255
2iu4,1.96,0.209
2iuf,1.71,0.154
2iuz,1.95,0.2233
2ivg,1.87,0.188
2ivi,1.3,0.157
2ivo,2.9,0.251
2iwd,2.4,0.246
2iwt,2.3,0.264
2iwz,1.65,0.188
2ix0,2.44,0.236
2iy0,2.77,0.279
2iy4,2.31,0.238
2iy7,1.85,0.2045
2izl,1.48,0.211
1vay,2.24,0.242
2izs,1.95,0.234
2izz,1.95,0.19
2j05,1.5,0.199
2j06,1.8,0.24
2j0g,2.85,0.248
2j0v,1.78,0.227
2j14,2.8,0.284
2j2j,1.5,0.206
2j4b,2.5,0.283
2j4f,2.8,0.262
2j4l,2.8,0.278
2j5i,1.8,0.215
2j5y,1.4,0.199
2j5z,1.73,0.233
2j60,1.8,0.258
2j61,2.7,0.291
2j6l,1.3,0.189
2j82,1.28,0.2042
2j88,2.6,0.247
2j9k,1.2,0.209
2j9z,1.8,0.218
2jay,1.99,0.268
2jb3,1.85,0.214
2jbm,2.0,0.208
2jc2,2.5,0.289
2jcq,1.25,0.156
2jcs,2.5,0.242
2jdd,1.6,0.193
2jdw,2.1,
2je5,2.6,0.298
2jfb,2.5,0.26
2jfk,2.4,0.271
2jfn,1.9,0.244
2jfw,2.0,0.2448
2jgi,2.9,0.242
2jgo,1.81,0.25665
2jhi,1.8,0.215
2jhp,2.5,0.289
2jhx,1.6,0.219
2ji8,2.15,0.231
2jif,2.0,0.209
2jjl,2.3,0.22
2jjp,2.1,0.262
2jk1,2.1,0.24347
2jk8,2.8,0.275
2jkv,2.532,0.2069
2ldx,2.96,
2lh2,2.0,
2lh6,2.0,
2lyz,2.0,
2mea,2.2,
2mnr,1.9,
2mya,1.8,
2nac,1.8,
2nlc,1.65,0.204
2nle,1.35,0.198
2nmv,2.95,0.28074
2nn2,2.1,0.26749
2nnw,2.7,0.2652
2npa,2.3,0.26
2npk,2.0,0.19031
2nqy,2.4,0.2428
2nrv,1.8,0.251
2nsg,2.05,0.22
2nto,2.095,0.23181
2ntr,1.8,0.257
2nud,2.3,0.26
2nue,2.9,0.275
2nv0,1.73,0.21579
2nv6,1.9,0.228
2nvb,2.8,0.278
2nvk,2.4,0.247
2nw3,1.7,0.236
2nws,1.8,0.268
2nxv,1.1,0.15544
2ny1,1.99,0.24975
2nzd,2.65,0.283
2o0l,1.99,0.26755
2o0m,1.6,0.20089
2o14,2.1,0.205
2o1g,1.71,0.21807
2o1p,2.7,0.27508
2o20,1.9,0.211
2o2h,1.6,0.173
2o2s,2.6,0.26692
2o4a,1.75,0.282
2o5g,1.08,0.1648
2o5h,1.9,0.24917
2o5s,1.6,0.21524
2o66,1.9,0.22406
2o69,2.0,0.25947
2o79,1.8,0.18173
2o9r,2.3,0.273
2o9s,0.83,0.1214
2o9t,2.15,0.275
2oaa,1.5,0.194
2ob0,1.8,0.204
2oba,2.33,0.256
2obn,2.3,0.214
2oc2,2.25,0.262
2oc4,2.592,0.252
2ocs,1.5,0.19829
2od9,2.05,0.245
2odv,2.05,0.25599
2oe7,2.1,0.214
2oeq,2.9,0.31437
2ofu,2.0,0.291
2ogi,1.85,0.229
2ohp,2.25,0.281
2ohs,2.45,0.251
2oiz,1.05,0.141
2ok3,2.0,0.255
2ok8,2.4,0.24569
2okc,2.2,0.232
2ol1,1.8,0.231
2ol7,1.35,0.21819
2ol8,1.9,0.28612
2ol9,0.85,0.078
2omo,1.83,0.2277
2omx,1.7,0.22323
2omz,1.6,0.186
2onf,1.7,0.201
2onp,2.0,0.24
2oo1,1.7,0.213
2oo2,1.8,0.289
2op4,2.85,0.26329
2oqu,1.8,0.22624
2or2,1.84,0.215
2orm,2.1,0.249
2ose,2.04,0.255
2osv,1.75,0.216
2osy,2.1,0.251
2osz,2.85,0.288
2ouh,2.4,0.296
2ov4,2.5,0.258
2ovd,1.8,0.23
2ovp,2.9,0.268
2owb,2.1,0.24313
2owd,1.65,0.218
2owk,2.0,0.216
2owl,2.4,0.32641
2owu,2.2,0.222
2owy,2.5,0.279
2ox1,2.33,0.27713
2ox7,1.777,0.23531
2oxd,2.3,0.2733
2oxu,1.24,0.2163
2oyh,2.4,0.259
2oyz,1.71,0.23657
2ozn,1.6,0.24562
2p0i,2.1,0.25589
2p0o,2.15,0.23345
2p17,1.52,0.21313
2p19,2.1,0.21874
2p25,1.7,0.22958
2p28,2.2,0.308
2p38,1.8,0.257
2p3d,2.8,0.25989
2p3e,1.99,0.21793
2p45,1.1,0.19468
2p47,2.5,0.29438
2p4s,2.2,0.21667
2p58,1.8,0.2214
2p5g,2.8,0.29524
2p5n,1.8,0.26796
2p5p,2.8,0.2762
2p73,2.3,0.243
2p74,0.88,0.1139
2p7g,2.1,0.26
2p7s,1.8,0.241
2p7v,2.6,0.273
2p9f,1.75,0.215
2pa4,2.0,0.243
2pad,2.8,
2par,2.1,0.247
2pb8,2.0,0.21804
2pb9,2.7,0.2911
2pca,2.0,0.229
2pce,2.0,0.25
2pcj,1.7,0.208
2pe1,2.14,0.282
2pgc,2.53,0.246
2ph6,2.0,0.21795
2phl,2.2,
2phm,2.6,0.281
2php,2.03,0.238
2phw,1.8,0.2
2pic,2.25,0.263
2pig,2.38,0.269
2pim,2.2,0.222
2pkl,2.49,0.26
2pkm,1.9,0.25956
2pl1,1.9,0.2262
2pl9,2.6,0.274
2plm,2.1,0.238
2plq,1.9,0.177
2plt,1.5,
2pm7,2.35,0.298
2pmq,1.72,0.191
2pmr,1.32,0.1913
2pnm,2.3,0.235
2pnq,1.81,0.256
2pog,1.84,0.252
2pom,2.27,0.233
2ppc,1.58,0.18182
2ppy,2.16,0.219
2pqv,1.63,0.22646
2pqy,2.3,0.24
2pri,2.3,0.246
2prx,1.5,0.277
2ps0,2.0,0.25
2psb,2.1,0.269
2psw,2.1,0.26463
2pt6,2.0,0.21407
2ptf,2.35,0.253
2pth,1.2,0.215
2ptn,1.55,
2ptq,2.0,0.211
2pu9,1.65,0.231
2pv1,1.3,0.243
2pvh,2.2,0.236
2pvm,2.0,0.225
2pw5,2.1,0.215
2pws,2.21,0.21539
2pxe,2.0,0.2768
2py9,2.56,0.26862
2pya,0.86,0.105
2pyg,2.1,0.235
2pyi,1.88,0.23839
2pyu,2.02,0.25346
2pz1,2.25,0.27925
2pz8,2.0,0.229
2pza,2.4,0.259
2q1b,1.7,0.2162
2q1z,2.4,0.3293
2q2a,1.79,0.237
2q2o,2.1,0.219
2q42,1.742,0.193
2q46,1.8,0.267
2q4t,2.35,0.243
2q5t,2.1,0.23925
2q5w,2.0,0.19321
2q67,2.3,0.266
2q70,1.95,0.303
2q7e,1.8,0.19119
2q80,2.7,0.25329
2q86,1.85,0.22262
2q8n,1.82,0.237
2q8u,2.2,0.241
2q91,1.63,0.217
2q92,1.9,0.238
2q98,2.7,0.302
2qa8,1.85,0.264
2qac,1.7,0.22828
2qaj,1.8,0.273
2qbq,2.1,0.226
2qd4,2.0,0.23
2qeu,1.65,0.18
2qf2,1.65,0.23762
2qfa,1.4,0.202
2qft,1.55,0.179
2qgv,2.7,0.292
2qhr,2.0,0.245
2qhz,1.85,0.20521
2qi6,1.85,0.21213
2qi9,2.6,0.28
2qik,1.35,0.176
2qjs,2.25,0.2827
2qla,2.9,0.295
2qlf,2.8,0.229
2qm7,1.85,0.247
2qmb,2.8,0.28356
2qmd,1.65,0.213
2qnu,2.05,0.234
2qnw,1.9,0.23
2qos,1.81,0.244
2qr6,1.5,0.188
2qr9,2.0,0.262
2qri,2.0,0.253
2qsd,2.5,0.25318
2qst,2.9,0.25
2qsv,2.1,0.23285
2qsy,1.95,0.263
2qtb,2.25,0.228
2qtd,1.7,0.255
2qtk,2.8,0.2951
2qtq,1.85,0.216
2qtu,2.53,0.279
2quf,2.8,0.281
2qup,2.0,0.2287
2quq,2.8,0.285
2qv2,2.4,0.288
2qv6,2.0,0.24431
2qvb,1.19,0.16
2qvk,1.451,0.19157
2qvo,1.85,0.27983
2qvu,1.5,0.214
2qwf,1.9,
2qwt,2.3,0.279
2qxf,1.5,0.22357
2qyj,2.05,0.226
2qz8,2.16,0.255
2r0u,1.9,0.2176
2r11,1.96,0.239
2r1x,1.6,0.239
2r25,1.7,0.24
2r31,1.0,0.1425
2r3a,2.0,0.21252
2r3b,1.8,0.183
2r4e,2.1,0.25607
2r5f,2.1,0.252
2r5u,1.9,0.2746
2r6h,2.95,0.271
2r6u,1.5,0.21076
2r6z,1.8,0.231
2r7p,2.8,0.2633
2r8t,2.3,0.2538
2r8u,1.35,0.227
2r8y,1.85,0.24434
2r9w,1.8,0.193
2ra4,1.7,0.21581
2ras,1.8,0.206
2rb6,2.5,0.28
2rbu,1.8,0.195
2rcc,1.9,0.215
2rcd,2.32,0.242
2rd2,2.6,0.263
2rdc,1.8,0.224
2re2,1.3,0.179
2rem,1.9,0.224
2reo,2.651,0.279
2rey,1.55,0.23982
2rf1,2.0,0.235
2rfb,2.5,0.26844
2rfl,2.35,0.283
2rfr,1.16,0.172
2rfv,1.355,0.1772
2rfw,1.6,0.243
2rg7,2.05,0.274
2rg8,1.8,0.251
2rgw,2.8,0.257
2rh1,2.4,0.232
2rh2,0.96,0.11683
2ris,1.6,0.229
2riv,1.5,0.21401
2rjn,2.1,0.236
2rjp,2.8,0.267
2rjx,1.7,0.24
2rk1,1.26,0.15231
2rkk,2.9,0.26
2rkz,2.0,0.261
2rtd,1.65,0.236
2rtm,1.3,0.238
2sbl,2.6,
2shp,2.0,0.27
2sic,1.8,
2sn3,1.2,
2sta,1.8,0.233
2tbv,2.9,
2tdx,2.4,0.321
2tio,1.93,0.228
2tld,2.6,
2trh,1.9,0.299
2trs,2.04,
2tsy,2.5,
2ull,1.5,0.192
2uuo,2.5,0.261
2uux,1.4,0.224
2uvg,2.2,0.265
2uvr,2.9,0.265
2uw5,2.14,0.259
2uw7,2.1,0.318
2uwb,2.0,0.213
2ux8,2.65,0.295
2uxe,2.9,0.2435
2uxl,2.88,0.22
2uy2,1.6,0.193
2uya,2.0,0.166
2uyu,1.96,0.245
2uz0,1.7,0.213
2uz9,2.3,0.222
2uzb,2.7,0.265
2uzn,2.3,0.297
2uzx,2.8,0.307
2v1b,1.55,0.212
2v1y,2.4,0.292
2v2n,1.55,0.222
2v3g,1.2,0.144
2v3t,2.75,0.2867
2v40,1.9,0.198
2v5f,2.03,0.265
2v62,1.7,0.236
2v6f,2.4,0.251
2v6m,2.2,0.218
2v6w,1.8,
2v7j,2.0,0.207
2v7k,1.7,0.206
2v84,1.78,0.26
2v8b,0.94,0.103
2v8j,2.01,0.247
2v9d,2.15,0.218
2v9u,2.59,0.299
2vab,2.5,
2vac,1.7,0.214
2vag,1.8,0.225
2vb2,1.7,0.263
2vb7,1.6,0.186
2vbl,1.8,0.197
2vby,2.8,0.261
2vck,1.8,0.225
2vd0,2.2,0.247
2vdi,2.65,0.234
2vdk,2.8,0.205
2vdr,2.4,0.193
2vdv,2.3,0.2654
2ven,2.0,0.237
2vfh,2.0,0.2448
2vh4,2.45,0.262
2vhu,2.75,0.284
2vi6,2.6,0.265
2vio,1.8,0.2504
2vji,1.38,0.18
2vka,2.0,0.185
2vkn,2.05,0.238
2vl1,2.15,0.263
2vl3,1.83,0.2885
2vl7,2.25,0.276
2vlo,1.8,0.228
2vlt,2.0,0.269
2vnf,1.76,0.227
2vni,2.24,0.267
2vnj,2.13,0.271
2vnp,2.19,0.255
2voa,1.7,0.23
2vob,2.3,0.251
2voe,2.6,0.2512
2vpp,2.2,0.253
2vq3,2.0,0.236
2vqg,1.82,0.215
2vqs,2.9,0.286
2vqt,2.1,0.231
2vrf,2.0,0.247
2vrm,2.3,0.246
2vsl,2.1,0.226
2vst,2.35,0.274
2vtj,2.2,0.2622
2vtn,2.2,0.2506
2vtx,2.5,0.269
2vu2,2.65,0.28571
2vug,2.9,0.267
2vuk,1.5,0.208
2vv4,2.35,0.252
2vvn,1.85,0.22424
2vw7,1.9,0.201
2vw8,1.45,0.18597
2vwi,2.15,0.287
2vwl,1.8,0.25
2vws,1.39,0.191
2vxl,2.7,0.26
2vxv,1.49,0.179
2vxy,1.7,0.218
2vy7,1.53,0.185
2vzs,1.85,0.22
2w0p,1.9,0.239
2w1x,1.7,0.22789
2w2i,2.1,0.236
2w2r,1.83,0.179
2w2t,1.95,0.254
2w3w,1.6,0.207
2w4o,2.17,0.237
2w51,2.8,0.305
2w5l,1.7,0.227
2w5q,1.2,0.185
2w5y,2.0,0.264
2w7a,1.4,0.185
2w7e,1.69,0.205
2w7x,2.07,0.22
2w88,2.89,0.22285
2w96,2.3,0.259
2w9d,1.57,0.217
2waa,1.8,0.184
2was,1.9,0.254
2wb0,1.95,0.245
2wb7,2.6,0.24
2wbl,2.9,0.261
2wbt,2.7,0.269
2wch,1.7,0.254
2wdd,1.5,0.196
2wdo,1.56,0.232
2wdt,2.3,0.235
2wdz,1.95,0.24
2weh,2.09,0.241
2weo,1.4,0.185
2wf7,1.05,0.176
2wfl,2.1,0.231
2wfv,1.85,0.232
2wgr,1.7,0.21112
2whl,1.4,0.188
2wht,1.9,0.23886
2wid,2.3,0.255
2wif,2.25,0.27508
2wih,2.5,0.25
2wko,1.97,0.23072
2wks,2.95,0.23555
2wkv,2.5,0.238
2wl7,2.028,0.2077
2wld,2.2,0.234
2wlg,1.9,0.23106
2wlr,1.45,0.19599
2wlw,1.5,0.1858
2wmu,2.6,0.2611
2wn8,2.0,0.27957
2wnx,1.31,0.15439
2wo6,2.5,0.229
2wor,1.7,0.21211
2wpq,1.85,0.28831
2wpx,2.31,0.253
2wr6,1.8,0.22676
2wsm,2.3,0.275
2wt9,1.65,0.235
2wut,1.85,0.2092
2wvi,1.8,0.25986
2wwc,1.75,0.203
2wwd,2.25,0.232
2wxz,2.8,0.31
2wy0,2.38,0.253
2wys,2.75,0.23629
2wz0,1.72,0.25973
2wzl,2.1,0.26597
2x04,1.49,0.186
2x0e,2.81,0.245
2x21,1.75,0.186
2x4i,2.2,0.27736
2x4m,2.55,0.246
2x5g,2.0,0.2489
2x6c,2.7,0.2609
2x6q,2.2,0.258
2x7a,2.77,0.2728
2x7e,2.4,0.27323
2x7q,2.0,0.2364
2x8f,1.9,0.18
2x9k,2.18,0.248
2x9y,2.33,0.2554
2xa8,2.42,0.269
2xb7,2.5,0.243
2xbg,1.5,0.2164
2xbk,1.95,0.21396
2xbs,1.37,0.19258
2xbv,1.66,0.2244
2xby,2.02,0.246
2xca,2.5,0.259
2xcw,1.9,0.19357
2xde,1.4,0.254
2xdg,1.95,0.22288
2xdl,1.98,0.2516
2xdo,2.09,0.22993
2xe8,1.79,0.24252
2xfn,1.6,0.18975
2xft,1.8,0.23623
2xg9,1.8,0.1709
2xgf,2.2,0.23813
2xgg,2.05,0.27827
2xh2,1.8,0.20949
2xh4,1.7,0.279
2xi6,1.65,0.1755
2xjt,1.2,0.15316
2xlr,2.55,0.24423
2xm2,1.95,0.22084
